id,door_type,title,region,start_period,end_period,location,poster,syear,smonth,sday,eyear,emonth,eday,door
210,exhibit,"유래 : COLOR GIRL : 여자 꽃,을 피우다",서울,2022-05-07,2024-12-31,브루커피 삼성공항터미널점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220506_170%2F1651826073842qK7HF_PNG%2F360_main_thumb_url_1651826073734.png,2022,5,7,2024,12,31,2
211,exhibit,"오늘은 어린이날, 소파 방정환의 이야기세상",서울,2022-05-04,2024-03-11,국립민속박물관 어린이박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220506_76%2F1651816190261b7O7K_JPEG%2F360_main_thumb_url_1651816190206.jpg,2022,5,4,2024,3,11,2
212,exhibit,일본 불교조각의 세계,서울,2022-04-05,2023-10-09,국립중앙박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220413_211%2F1649818301578wDHMP_PNG%2F360_main_thumb_url_1649818301483.png,2022,4,5,2023,10,9,2
213,exhibit,후지시로 세이지 : 고양이 뉴욕에 가다,서울,2022-03-04,2024-12-31,후지시로 세이지 북촌 스페이스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220330_94%2F1648627422581pzwSY_JPEG%2F360_main_thumb_url_1648627422534.jpg,2022,3,4,2024,12,31,2
214,exhibit,고원(高原) : Go One Hour LOOP,서울,2022-03-30,2024-12-31,고원,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220307_182%2F1646635122018PgHYj_JPEG%2F360_main_thumb_url_1646635121958.jpg,2022,3,30,2024,12,31,2
215,exhibit,광화원 도심 속 미디어 정원,서울,2022-01-14,2024-12-31,서울메트로미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220112_74%2F1641974112103a9lB9_PNG%2F360_main_thumb_url_1641974112066.png,2022,1,14,2024,12,31,2
216,exhibit,S프로젝트_Connected Tunnel,서울,2021-12-21,2022-12-31,소마미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20211222_92%2F1640151081455eOEIp_JPEG%2F360_main_thumb_url_1640151081440.jpg,2021,12,21,2022,12,31,2
217,exhibit,로그아웃,서울,2021-12-21,2023-03-01,뚝섬미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220518_137%2F1652862683643RkeQe_JPEG%2F360_25479684_main_thumb_url_1652862683588.jpg,2021,12,21,2023,3,1,2
218,exhibit,화가의 비망록,서울,2021-10-11,2023-03-31,종로구립 박노수미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20211021_23%2F1634818576934cPheR_JPEG%2F360_main_thumb_url_1634818576897.jpg,2021,10,11,2023,3,31,2
219,exhibit,에릭 요한슨 사진전,서울,2021-09-16,2022-10-30,63아트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220330_282%2F164862408183518e2N_JPEG%2F360_19452650_main_thumb_url_1648624081736.jpg,2021,9,16,2022,10,30,2
